budget,id,original_language,original_title,popularity,release_date,revenue,runtime,vote_average,vote_count
175000000,14160,en,Up,92.201962,13/05/2009,735099082,96,7.7,6870
175000000,15512,en,Monsters vs Aliens,36.167578,19/03/2009,381509870,94,6,1423
140000000,1726,en,Iron Man,120.725053,30/04/2008,585174222,126,7.4,8776
170000000,44826,en,Hugo,32.319043,22/11/2011,185770160,126,7,2141
170000000,8487,en,Wild Wild West,40.748915,29/06/1999,222104681,106,5.1,1020
145000000,1735,en,The Mummy: Tomb of the Dragon Emperor,60.034162,01/07/2008,401128639,112,5.2,1387
175000000,297761,en,Suicide Squad,90.23792,02/08/2016,745000000,123,5.9,7458
175000000,2698,en,Evan Almighty,27.082182,09/06/2007,173000000,96,5.3,1151
178000000,137113,en,Edge of Tomorrow,79.456485,27/05/2014,370541256,113,7.6,4858
175000000,9804,en,Waterworld,44.640292,28/07/1995,264218220,135,5.9,992
175000000,14869,en,G.I. Joe: The Rise of Cobra,32.852443,04/08/2009,302469017,118,5.6,1962
175000000,150540,en,Inside Out,128.655964,09/06/2015,857611174,94,8,6560
175000000,278927,en,The Jungle Book,94.199316,07/04/2016,966550600,106,6.7,2892
200000000,10138,en,Iron Man 2,77.300194,28/04/2010,623933331,124,6.6,6849
170000000,58595,en,Snow White and the Huntsman,77.178973,30/05/2012,396600000,127,5.8,3118
180000000,102651,en,Maleficent,110.620647,28/05/2014,758539785,97,7,4496
170000000,119450,en,Dawn of the Planet of the Apes,243.791743,26/06/2014,710644566,130,7.3,4410
27000000,79698,en,The Lovers,2.418535,13/02/2015,0,109,4.8,34
175000000,64686,en,47 Ronin,41.796339,06/12/2013,150962475,119,5.9,1326
170000000,100402,en,Captain America: The Winter Soldier,72.225265,20/03/2014,714766572,136,7.6,5764
165000000,10192,en,Shrek Forever After,44.041186,16/05/2010,752600867,93,6,1959
190000000,158852,en,Tomorrowland,130.311355,19/05/2015,209154322,130,6.2,2846
165000000,177572,en,Big Hero 6,203.73459,24/10/2014,652105443,102,7.8,6135
165000000,82690,en,Wreck-It Ralph,62.341073,01/11/2012,471222889,108,7.1,4570
165000000,5255,en,The Polar Express,47.323228,10/11/2004,305875730,100,6.4,1474
165000000,47933,en,Independence Day: Resurgence,48.775723,22/06/2016,389681935,120,4.9,2491
165000000,10191,en,How to Train Your Dragon,67.263269,05/03/2010,494878759,98,7.5,4227
200000000,296,en,Terminator 3: Rise of the Machines,69.405188,02/07/2003,435000000,109,5.9,2143
170000000,118340,en,Guardians of the Galaxy,481.098624,30/07/2014,773328629,121,7.9,9742
165000000,157336,en,Interstellar,724.247784,05/11/2014,675120017,169,8.1,10867
160000000,27205,en,Inception,167.58371,14/07/2010,825532764,148,8.1,13752
15000000,315011,ja,シン・ゴジラ,9.476999,29/07/2016,77000000,120,6.5,143
250000000,49051,en,The Hobbit: An Unexpected Journey,108.849621,26/11/2012,1021103568,169,7,8297
38000000,9799,en,The Fast and the Furious,6.909942,22/06/2001,207283925,106,6.6,3428
150000000,4922,en,The Curious Case of Benjamin Button,60.269279,24/11/2008,333932083,166,7.3,3292
160000000,49538,en,X-Men: First Class,3.195174,24/05/2011,353624124,132,7.1,5181
160000000,131634,en,The Hunger Games: Mockingjay - Part 2,127.284427,18/11/2015,653428261,137,6.6,3984
150000000,27022,en,The Sorcerer's Apprentice,35.580815,13/07/2010,215283742,109,5.8,1470
160000000,503,en,Poseidon,21.133748,12/05/2006,181674817,99,5.5,583
170000000,241259,en,Alice Through the Looking Glass,56.268916,25/05/2016,299370084,113,6.5,1725
160000000,810,en,Shrek the Third,42.986467,17/05/2007,798958165,93,6,2278
160000000,68735,en,Warcraft,63.148529,25/05/2016,433677183,123,6.3,2268
155000000,87101,en,Terminator Genisys,202.042635,23/06/2015,440603537,126,5.8,3631
155000000,10140,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,49.661984,13/08/2010,415686217,113,6.2,1514
140000000,676,en,Pearl Harbor,34.20669,21/05/2001,449220945,183,6.6,1791
150000000,1858,en,Transformers,25.468493,27/06/2007,709709780,144,6.6,4040
155000000,1966,en,Alexander,39.019229,21/11/2004,167298192,175,5.6,927
150000000,675,en,Harry Potter and the Order of the Phoenix,78.144395,28/06/2007,938212738,138,7.4,5494
150000000,674,en,Harry Potter and the Goblet of Fire,101.250416,05/11/2005,895921036,157,7.5,5608
150000000,8960,en,Hancock,56.758411,01/07/2008,624029371,92,6.2,2961
150000000,6479,en,I Am Legend,70.867401,14/12/2007,585349010,101,6.9,4853
150000000,118,en,Charlie and the Chocolate Factory,53.905592,13/07/2005,474968763,115,6.7,3624
150000000,2062,en,Ratatouille,65.677399,22/06/2007,623722818,111,7.5,4369
150000000,272,en,Batman Begins,115.040024,10/06/2005,374218673,140,7.5,7359
150000000,10527,en,Madagascar: Escape 2 Africa,44.141021,30/10/2008,603900354,89,6.2,1810
150000000,18360,en,Night at the Museum: Battle of the Smithsonian,81.781591,20/05/2009,413106170,105,5.9,1971
150000000,2080,en,X-Men Origins: Wolverine,5.954334,28/04/2009,373062864,107,6.2,4021
150000000,605,en,The Matrix Revolutions,73.313918,05/11/2003,424988211,129,6.4,3096
150000000,109445,en,Frozen,165.125366,27/11/2013,1274219009,102,7.3,5295
150000000,604,en,The Matrix Reloaded,70.78591,15/05/2003,738599701,138,6.7,3443
170000000,76338,en,Thor: The Dark World,99.499595,29/10/2013,644571402,112,6.8,4755
150000000,76341,en,Mad Max: Fury Road,434.278564,13/05/2015,378858340,120,7.2,9427
150000000,13448,en,Angels & Demons,67.447636,13/05/2009,356613439,138,6.5,2129
150000000,10195,en,Thor,86.493424,21/04/2011,449326618,115,6.6,6525
150000000,13053,en,Bolt,41.845878,21/11/2008,309979994,98,6.3,1750
150000000,19585,en,G-Force,26.710398,21/07/2009,292817841,88,5.1,510
150000000,57165,en,Wrath of the Titans,44.927635,27/03/2012,301000000,99,5.5,1431
150000000,62213,en,Dark Shadows,50.306728,08/05/2012,245527149,113,5.7,2320
150000000,177677,en,Mission: Impossible - Rogue Nation,114.522237,23/07/2015,682330139,131,7.1,3224
150000000,7978,en,The Wolfman,21.214571,11/02/2010,0,102,5.5,549
150000000,5559,en,Bee Movie,29.332905,28/10/2007,287594577,91,5.7,1171
150000000,49444,en,Kung Fu Panda 2,51.247321,25/05/2011,665692281,91,6.7,1880
150000000,10196,en,The Last Airbender,33.769336,30/06/2010,318502923,103,4.7,1151
150000000,956,en,Mission: Impossible III,63.079003,03/05/2006,397850012,126,6.5,2028
150000000,117251,en,White House Down,39.004588,27/06/2013,205366737,131,6.4,1891
150000000,50321,en,Mars Needs Moms,12.362599,09/03/2011,38992758,88,5.5,199
149000000,11619,en,Flushed Away,22.550135,22/10/2006,64459316,85,6,874
150000000,266647,en,Pan,48.03528,24/09/2015,128388320,111,5.9,954
145000000,82703,en,Mr. Peabody & Sherman,38.73494,07/02/2014,272912430,92,6.7,843
175000000,652,en,Troy,66.803149,13/05/2004,497409852,163,6.9,2759
145000000,80321,en,Madagascar 3: Europe's Most Wanted,44.989192,06/06/2012,746921274,93,6.4,1808
140000000,36669,en,Die Another Day,54.159392,17/11/2002,431971116,133,5.8,1092
144000000,43074,en,Ghostbusters,66.21806,14/07/2016,229147509,116,5.3,2142
140000000,95,en,Armageddon,58.485967,01/07/1998,553799566,151,6.4,2482
140000000,608,en,Men in Black II,91.332849,03/07/2002,441818803,88,6,3114
70000000,2310,en,Beowulf,35.601665,05/11/2007,195735876,115,5.5,841
145000000,140300,en,Kung Fu Panda 3,56.747978,23/01/2016,521170825,95,6.7,1603
145000000,56292,en,Mission: Impossible - Ghost Protocol,77.77477,07/12/2011,694713380,133,6.8,3972
145000000,81188,en,Rise of the Guardians,61.788035,21/11/2012,306941670,97,7.1,1922
100000000,7552,en,Fun with Dick and Jane,25.159168,21/12/2005,202026112,90,5.9,627
140000000,616,en,The Last Samurai,52.341226,05/12/2003,456758981,154,7.3,1895
140000000,147441,en,Exodus: Gods and Kings,101.599427,03/12/2014,268031828,150,5.6,1921
150000000,13475,en,Star Trek,73.616808,06/05/2009,385680446,127,7.4,4518
139000000,557,en,Spider-Man,82.502566,01/05/2002,821708551,121,6.8,5265
145000000,82702,en,How to Train Your Dragon 2,100.21391,12/06/2014,609123048,102,7.6,3106
140000000,205584,en,Gods of Egypt,56.257249,25/02/2016,150680864,127,5.3,1277
135000000,10048,en,Stealth,17.88953,28/07/2005,76932943,121,4.9,331
130000000,13183,en,Watchmen,64.798873,05/03/2009,185258983,163,7,2811
140000000,944,en,Lethal Weapon 4,24.855701,10/07/1998,285444603,127,6.3,767
137000000,1927,en,Hulk,34.981698,19/06/2003,245360480,138,5.3,1533
130000000,72559,en,G.I. Joe: Retaliation,59.325589,26/03/2013,371876278,110,5.4,3025
130000000,7364,en,Sahara,21.605568,06/04/2005,119269486,124,5.7,434
137000000,2114,en,Final Fantasy: The Spirits Within,26.074908,02/07/2001,85131830,106,5.9,433
140000000,1771,en,Captain America: The First Avenger,74.506246,22/07/2011,370569774,124,6.6,7047
135000000,36643,en,The World Is Not Enough,39.604363,08/11/1999,361832400,128,6,862
150000000,8619,en,Master and Commander: The Far Side of the World,36.973031,14/11/2003,212011111,138,6.9,790
120000000,50620,en,The Twilight Saga: Breaking Dawn - Part 2,99.687084,13/11/2012,829000000,115,6.1,2553
130000000,65759,en,Happy Feet Two,17.7735,17/11/2011,150406466,100,5.8,373
150000000,1724,en,The Incredible Hulk,62.898336,12/06/2008,163712074,114,6.1,3021
140000000,267935,en,The BFG,44.19092,01/06/2016,183345589,120,6,1000
135000000,281957,en,The Revenant,100.635882,25/12/2015,532950503,156,7.3,6396
135000000,77950,en,Turbo,44.765377,11/07/2013,282570682,96,6.1,1074
135000000,44896,en,Rango,29.91353,02/03/2011,245724603,107,6.6,2051
132000000,270946,en,Penguins of Madagascar,84.366984,22/11/2014,373552094,92,6.5,1346
70000000,2503,en,The Bourne Ultimatum,45.381501,03/08/2007,442824138,115,7.3,2888
130000000,9502,en,Kung Fu Panda,84.689648,04/06/2008,631744560,90,6.9,3145
130000000,102899,en,Ant-Man,120.09361,14/07/2015,519311965,117,7,5880
130000000,101299,en,The Hunger Games: Catching Fire,76.310119,15/11/2013,847423452,146,7.4,6495
135000000,228161,en,Home,63.473086,18/03/2015,368871007,94,6.8,1519
132000000,74,en,War of the Worlds,48.572726,28/06/2005,591739379,116,6.2,2322
130000000,8961,en,Bad Boys II,38.068736,18/07/2003,273339556,147,6.3,1564
130000000,417859,en,Puss in Boots,20.678787,28/10/2011,554987477,90,6.4,451
110000000,27576,en,Salt,48.829437,21/07/2010,293329073,100,6.2,2093
125000000,86834,en,Noah,46.115758,20/03/2014,362637473,139,5.6,2350
130000000,17578,en,The Adventures of Tintin,89.938296,25/10/2011,371940071,107,6.7,2061
130000000,673,en,Harry Potter and the Prisoner of Azkaban,79.679601,31/05/2004,789804554,141,7.7,5877
130000000,6972,en,Australia,28.840997,18/11/2008,49554002,165,6.3,694
130000000,82700,en,After Earth,42.840582,30/05/2013,243843127,100,5,2532
127500000,10567,en,Dinosaur,26.548594,19/05/2000,354248063,82,6.2,542
127000000,181533,en,Night at the Museum: Secret of the Tomb,115.597753,17/12/2014,349424282,97,6.1,1851
130000000,38055,en,Megamind,68.757242,28/10/2010,321887208,95,6.7,1918
125000000,671,en,Harry Potter and the Philosopher's Stone,109.984351,16/11/2001,976475550,152,7.5,7006
130000000,49524,en,R.I.P.D.,39.448066,18/07/2013,61648500,96,5.4,1260
140000000,22,en,Pirates of the Caribbean: The Curse of the Black Pearl,271.972889,09/07/2003,655011224,143,7.5,6985
125000000,131631,en,The Hunger Games: Mockingjay - Part 1,206.227151,18/11/2014,752100229,123,6.6,5584
125000000,591,en,The Da Vinci Code,45.313197,17/05/2006,767820459,149,6.5,2704
103000000,172385,en,Rio 2,42.40024,19/03/2014,500188435,102,6.3,978
110000000,36658,en,X2,2.871739,24/04/2003,407711549,133,6.8,3506
125000000,51497,en,Fast Five,7.255718,20/04/2011,626137675,130,7.1,2438
125000000,58574,en,Sherlock Holmes: A Game of Shadows,81.499621,22/11/2011,334615000,129,7,3886
125000000,18823,en,Clash of the Titans,47.686442,01/04/2010,232713139,106,5.6,2233
65000000,861,en,Total Recall,43.129703,01/06/1990,261317921,113,7.1,1710
160000000,1911,en,The 13th Warrior,27.220157,27/08/1999,61698899,102,6.4,510
130000000,49040,en,The Bourne Legacy,90.33681,08/08/2012,276572938,120,6,2651
125000000,415,en,Batman & Robin,50.073575,20/06/1997,238207122,125,4.2,1418
123000000,8871,en,How the Grinch Stole Christmas,45.419668,17/11/2000,345141403,104,6.2,1386
125000000,435,en,The Day After Tomorrow,41.380094,26/05/2004,544272402,124,6.2,2392
125000000,955,en,Mission: Impossible II,54.931334,24/05/2000,546388105,123,5.9,1928
120000000,2133,en,The Perfect Storm,25.752118,15/03/2000,325756637,130,6.2,597
130000000,1979,en,4: Rise of the Silver Surfer,60.810723,13/06/2007,289047763,92,5.4,2589
120000000,87827,en,Life of Pi,51.328145,20/11/2012,609016565,127,7.2,5797
110000000,1250,en,Ghost Rider,46.834704,16/02/2007,228738393,114,5.2,1712
120000000,324668,en,Jason Bourne,62.641286,27/07/2016,415484914,123,5.9,2341
120000000,9471,en,Charlie's Angels: Full Throttle,33.616115,27/06/2003,259175788,106,5.2,914
130000000,70981,en,Prometheus,68.889395,30/05/2012,403170142,124,6.3,5080
120000000,10996,en,Stuart Little 2,27.990284,19/07/2002,169956806,78,5.4,613
115000000,68724,en,Elysium,67.33767,07/08/2013,286140700,109,6.4,3439
105000000,2789,en,The Chronicles of Riddick,27.835436,11/06/2004,115772733,119,6.3,1570
120000000,97020,en,RoboCop,66.757869,30/01/2014,242688965,102,5.7,2342
120000000,7459,en,Speed Racer,17.060695,09/05/2008,93945766,135,5.7,354
120000000,42888,en,How Do You Know,11.137655,17/12/2010,48668907,121,4.9,223
117000000,37834,en,Knight and Day,44.906918,15/06/2010,261930431,109,5.9,1547
120000000,75612,en,Oblivion,67.698004,10/04/2013,286168572,124,6.4,4800
113000000,1895,en,Star Wars: Episode III - Revenge of the Sith,44.108427,17/05/2005,850000000,140,7.1,4116
120000000,1894,en,Star Wars: Episode II - Attack of the Clones,43.987061,15/05/2002,649398328,142,6.4,3992
115000000,585,en,"Monsters, Inc.",106.815545,01/11/2001,562816256,92,7.5,5996
120000000,76170,en,The Wolverine,15.953444,23/07/2013,415440673,126,6.3,4053
115000000,1893,en,Star Wars: Episode I - The Phantom Menace,54.035265,19/05/1999,924317558,136,6.3,4432
135000000,49519,en,The Croods,64.183321,20/03/2013,585178928,98,6.8,2399
97250400,2395,fr,Astérix aux Jeux Olympiques,20.344364,13/01/2008,132900000,116,5,471
115000000,12100,en,Windtalkers,18.714197,14/06/2002,77628265,134,5.8,341
115000000,290595,en,The Huntsman: Winter's War,60.467984,06/04/2016,164602163,114,6,1523
125000000,98566,en,Teenage Mutant Ninja Turtles,143.350376,07/08/2014,477200000,101,5.8,2636
105000000,49047,en,Gravity,110.153618,27/09/2013,716392705,91,7.3,5751
116000000,9619,en,Dante's Peak,16.90444,07/02/1997,178127760,108,5.7,428
135000000,308531,en,Teenage Mutant Ninja Turtles: Out of the Shadows,39.873791,01/06/2016,245623848,112,5.8,963
120000000,166424,en,Fantastic Four,38.126095,05/08/2015,167977596,100,4.4,2278
110000000,1593,en,Night at the Museum,48.780039,20/10/2006,574480841,108,6.3,2862
110000000,254128,en,San Andreas,100.412364,27/05/2015,470490832,114,6,2968
110000000,714,en,Tomorrow Never Dies,42.887121,11/12/1997,333011068,119,6,925
110000000,2024,en,The Patriot,23.657284,28/06/2000,215294342,165,6.8,1099
110000000,163,en,Ocean's Twelve,76.840712,09/12/2004,362744280,125,6.4,2124
110000000,787,en,Mr. & Mrs. Smith,44.635452,07/06/2005,478207520,120,6.5,2965
110000000,262500,en,Insurgent,103.718387,18/03/2015,295238201,119,6.2,3829
116000000,2567,en,The Aviator,45.616098,17/12/2004,102000000,170,7,1489
112000000,38745,en,Gulliver's Travels,22.845143,25/12/2010,237382724,85,4.9,621
120000000,40805,en,The Green Hornet,31.703608,12/01/2011,227817248,119,5.5,1251
110000000,53182,en,300: Rise of an Empire,71.510596,05/03/2014,337580051,102,6.1,2397
110000000,41513,en,The Smurfs,36.65422,29/07/2011,563749323,103,5.5,1179
110000000,13700,en,Home on the Range,19.625972,02/04/2004,103951461,76,5.7,389
110000000,262504,en,Allegiant,86.105615,09/03/2016,179246868,121,5.9,1998
110000000,39254,en,Real Steel,37.195046,28/09/2011,299268508,127,6.6,2692
105000000,77931,en,The Smurfs 2,32.473628,30/07/2013,347434178,105,5.5,695
160000000,1639,en,Speed 2: Cruise Control,23.336875,13/06/1997,164508066,121,4.1,434
110000000,80274,en,Ender's Game,45.94834,23/10/2013,125537191,114,6.6,2303
110000000,1571,en,Live Free or Die Hard,48.93337,20/06/2007,383531464,128,6.4,2089
93000000,120,en,The Lord of the Rings: The Fellowship of the Ring,138.049577,18/12/2001,871368364,178,8,8705
110000000,10204,en,Around the World in 80 Days,22.643776,16/06/2004,72178895,120,5.7,672
107000000,8489,en,Ali,18.866672,11/12/2001,87713825,157,6.7,447
0,10588,en,The Cat in the Hat,18.251129,21/11/2003,0,82,4.9,366
120000000,2048,en,"I, Robot",95.914473,15/07/2004,347234916,115,6.7,3793
130000000,1495,en,Kingdom of Heaven,44.490453,03/05/2005,211643158,144,6.6,1157
133000000,10137,en,Stuart Little,30.475297,17/12/1999,300135367,84,5.8,959
105000000,10198,en,The Princess and the Frog,62.479574,08/12/2009,267045765,97,6.7,1247
108000000,286217,en,The Martian,167.93287,30/09/2015,630161890,141,7.6,7268
126000000,1635,en,The Island,37.68056,20/07/2005,162949164,136,6.5,1770
90000000,24113,en,Town & Country,1.004579,27/04/2001,10372291,104,3.7,16
90000000,9679,en,Gone in Sixty Seconds,52.995628,09/06/2000,237202299,118,6.1,1485
103000000,98,en,Gladiator,95.301296,01/05/2000,457640427,155,7.9,5439
102000000,180,en,Minority Report,65.948959,20/06/2002,358372926,145,7.1,2608
100000000,672,en,Harry Potter and the Chamber of Secrets,132.397737,13/11/2002,876688482,161,7.4,5815
150000000,36557,en,Casino Royale,88.935165,14/11/2006,599045960,144,7.3,3855
100000000,869,en,Planet of the Apes,51.188633,25/07/2001,362211740,119,5.6,1243
100000000,280,en,Terminator 2: Judgment Day,101.74155,01/07/1991,520000000,137,7.7,4185
80000000,11322,en,Public Enemies,33.691694,01/07/2009,214104620,140,6.5,1344
100000000,4982,en,American Gangster,42.361215,02/11/2007,266465037,157,7.4,1502
115000000,36955,en,True Lies,38.729418,14/07/1994,378882411,141,6.8,1116
100000000,18487,en,The Taking of Pelham 1 2 3,40.597856,11/06/2009,150166126,106,6.2,954
100000000,39451,en,Little Fockers,32.389353,21/12/2010,310650585,98,5.4,1060
100000000,27581,en,The Other Guys,24.399642,06/08/2010,170432927,107,6.1,1383
100000000,9268,en,Eraser,24.507987,21/06/1996,242295562,115,5.6,543
100000000,68718,en,Django Unchained,82.121691,25/12/2012,425368238,165,7.8,10099
100000000,10545,en,The Hunchback of Notre Dame,46.727941,21/06/1996,100138851,91,6.8,1129
100000000,11688,en,The Emperor's New Groove,51.113717,09/12/2000,169327687,78,7.2,1490
100000000,76163,en,The Expendables 2,53.732892,08/08/2012,312573423,103,6.1,2896
100000000,2059,en,National Treasure,58.849256,19/11/2004,347451894,131,6.4,1926
100000000,2486,en,Eragon,30.863434,14/12/2006,249288105,104,4.9,967
100000000,16523,en,Where the Wild Things Are,31.586215,16/10/2009,100086793,101,6.4,572
100000000,116711,en,Epic,36.711378,15/05/2013,268426634,102,6.4,1121
100000000,37710,en,The Tourist,41.426678,08/12/2010,278731369,103,6,1699
100000000,9946,en,End of Days,20.652943,24/11/1999,211989043,121,5.5,482
100000000,1372,en,Blood Diamond,52.792678,07/12/2006,170877916,143,7.3,2281
100000000,106646,en,The Wolf of Wall Street,95.007934,25/12/2013,392000694,180,7.9,6571
100000000,414,en,Batman Forever,48.205606,31/05/1995,336529144,121,5.2,1498
105000000,563,en,Starship Troopers,58.782359,06/11/1997,121214377,129,6.7,1560
102000000,83542,en,Cloud Atlas,73.872343,26/10/2012,130482868,172,6.6,2977
80000000,41216,en,Legend of the Guardians: The Owls of Ga'Hoole,37.321848,10/07/2010,140073390,97,6.5,703
100000000,314,en,Catwoman,32.271938,22/07/2004,82102379,104,4.2,808
100000000,184315,en,Hercules,76.842247,23/07/2014,243400000,99,5.6,1680
140000000,9016,en,Treasure Planet,38.924136,26/11/2002,109578115,95,7.2,948
100000000,18162,en,Land of the Lost,19.38841,05/06/2009,68688831,102,5.3,381
90000000,138103,en,The Expendables 3,61.025639,04/08/2014,206172544,127,6.1,1795
105000000,257088,en,Point Break,33.507289,03/12/2015,133718711,114,5.5,783
84000000,10214,en,Son of the Mask,17.815595,18/02/2005,0,94,3.6,338
100000000,205775,en,In the Heart of the Sea,50.767332,20/11/2015,93820758,122,6.5,1276
100000000,11692,en,The Adventures of Pluto Nash,12.092241,15/08/2002,7103973,95,4.4,142
100000000,22972,en,Green Zone,30.254021,11/03/2010,94882889,115,6.4,717
99000000,227973,en,The Peanuts Movie,34.308098,05/11/2015,246233113,88,6.5,604
10000000,29193,en,The Spanish Prisoner,3.091077,08/09/1997,13835130,110,7.1,73
98000000,1734,en,The Mummy Returns,41.862983,28/04/2001,433013274,130,6,2206
100000000,3131,en,Gangs of New York,46.160048,14/12/2002,193772504,167,7.1,1910
94000000,76758,zh,金陵十三釵,12.516546,15/12/2011,95311434,145,7.1,187
85000000,9408,en,Surf's Up,23.230851,08/06/2007,149044513,85,5.9,601
90000000,9890,en,The Stepford Wives,19.224754,10/06/2004,102000000,93,5.4,334
92000000,855,en,Black Hawk Down,44.455166,28/12/2001,172989651,144,7.2,1811
